id,query,pageURL,fileURL,ext,views,downloads,likes,tags
2470559,applause,https://pixabay.com/illustrations/board-positive-well-done-2470559/,https://pixabay.com/get/ged0f162edf2ac2977af9c7e1eff23377aca79439e86c5f06766f5d51166fc916424a05b0bce587b983416645f3ffd6acc1aa63b71840ebdf47412a94e9de9546_1280.jpg,jpg,33902,22872,48,"board, positive, well done, recognition, applause, appreciation, assessment, consent, judgement, excellent, especially, good, praise, commendation, award, well done, well done, well done, well done, well done, recognition, recognition, applause, applause, praise"
309140,applause,https://pixabay.com/vectors/hands-clapping-applause-309140/,https://pixabay.com/get/g2037492a610836a0f6307930464bd7b81cf6945ceb60a52c6af6bc313937d179ac953b7717a8d1d002bf1bf001f596072dd785b0a52e15203930dc194866d96e_1280.png,png,50743,19074,42,"hands, clapping, applause, african-american, black, male, suit, ethnic, human, clap, person, applauding, clapping, applause, clap, clap, clap, clap, clap"
297115,applause,https://pixabay.com/vectors/applause-clapping-hands-black-297115/,https://pixabay.com/get/g334700ba54939c3028f2056e97b929654cb632e191aec11844d0457e83e48fe7ccd935a3b53b68a2b3910fee8cb74b56a926b70c234455620b6d66a4fed2ef73_1280.png,png,88913,29226,61,"applause, clapping, hands, black, bravo, applause, applause, applause, applause, applause, clapping, clapping, clapping, bravo"
2607201,applause,https://pixabay.com/photos/people-crowd-hands-clapping-party-2607201/,https://pixabay.com/get/g71e66235420fd6fda34a7ec2da0cff7ca077261b7d3a5d3984b06a8bd733239f2da6a23824770357ea0e3bf42ea73757bcd951bd86fdb673a82044329daefb2a_1280.jpg,jpg,46930,25843,86,"people, crowd, hands, clapping, party, concert, celebration, lights, happy, fun, stadium, crowd, clapping, clapping, clapping, clapping, clapping"
431234,applause,https://pixabay.com/photos/applause-applaud-clap-appreciate-431234/,https://pixabay.com/get/g86712330c5cae5ebe8de55b17c425198e316692bfb296cc2a67abd9b74ec6a4d7cbbaa4e32365acc1d583b0acb967dfabe4506f33351de24a55a1c9cd6e2a2f7_1280.jpg,jpg,70011,46787,102,"applause, applaud, clap, appreciate, cheer, performance, happiness, party, luck, joy, good luck, prosperity, tribute, honor, praise, prices, to support, support, supports, winner, approve, to agree, concert, satisfied, clapping hands, to rub, to catch, applause, applause, applause, applause, clap, clap, clap, clap, clap, clapping hands, clapping hands"
6962812,applause,https://pixabay.com/illustrations/applause-community-silhouette-6962812/,https://pixabay.com/get/g0671412aa5107b7f51ea5d073248f1c845bf8185b03e22687edc2f8cbd8177c99b0ed2bc40c605f898f0dbb9e1ed672338ebbaa2c9bbf91f6f26f436d1073c37_1280.jpg,jpg,45595,41460,51,"applause, community, silhouette, to dance, celebration, club, night club, music, fun, mood, bad, pleasure, poor, people, move, leap, dance, light, lust for life, enjoyment of life, party, applause, applause, applause, applause, applause"
41640,applause,https://pixabay.com/vectors/applauding-claps-hand-audience-41640/,https://pixabay.com/get/g55fc1d928cc735fcc52af4cc9b942d3ffc3ba65233c66f409b42153dbff06380bcedac557e3d738020ac578a7cb1daf3_1280.png,png,78044,10223,36,"applauding, claps, hand, audience, happiness, celebration, fun, cheerful, happy, entertainment, presentation, congratulating, cheer, perform, performance, show, applauding, applauding, claps, claps, audience, audience, audience, audience, audience"
25902,caption,https://pixabay.com/vectors/speech-bubble-blank-cloud-message-25902/,https://pixabay.com/get/gac7772ce92ed65d36fc11c55b779d14d13f966ccfb76ef9fac401015c2306e2762c39243084e8e6fbd07d864efc0aa2e_1280.png,png,154147,121364,137,"speech, bubble, blank, cloud, message, isolated, cartoon, banner, label, sticker, tag, space, note, empty, frame, bubble, bubble, bubble, bubble, bubble, cloud, cloud, cloud, cloud, banner, banner, banner, banner, label, frame, frame"
5570163,caption,https://pixabay.com/photos/review-product-survey-words-5570163/,https://pixabay.com/get/gdb0e03c79f2f3bbdcaa803de5f959aaacf92e14eecc638dcd125bd601f9289220f88146dd061070accb38188a8e34e43d94c3933583938d13d827956ae3cec8c_1280.jpg,jpg,31037,27512,27,"review, product, survey, words, letters, surface, flat-lay, reputation, test, feedback, customer, business, rating, quality, service, satisfaction, rank, poll, review, review, review, review, review, survey, reputation"
30118,caption,https://pixabay.com/vectors/callout-quote-text-box-text-bubble-30118/,https://pixabay.com/get/g46cc4fea10ba60202582583dd7106c32ab91d6c4da03f415d3e06e97b0420a860aa9c6c84aa6febb31a8418c0355e82b_1280.png,png,43852,29366,23,"callout, quote, text box, text bubble, balloon, callout, callout, callout, callout, callout, text box, text box, text bubble, text bubble"
4314636,caption,https://pixabay.com/illustrations/brain-thought-mind-idea-psychology-4314636/,https://pixabay.com/get/g8542eb5c604ffb8e5f0649dc13582f1571e23cd6a3c891edb323c74815baa0f541c95acb8799b6073e38eede691ce4e5bea5768216ae61c34bb80ca529ddc490_1280.jpg,jpg,73353,48160,184,"brain, thought, mind, idea, psychology, think, thoughts, knowledge, thinking, cranium, brainstorm, learning, blue brain, blue learning, blue thinking, blue mind, blue think, blue knowledge, blue idea, blue psychology, brain, brain, brain, brain, brain, mind, mind, mind"
29435,caption,https://pixabay.com/vectors/speech-bubble-talk-blank-message-29435/,https://pixabay.com/get/gae87a5d3c0c95aa297b9e2232a4ee6c8ca5ebda99eba3beaf3ba330b5d4aa9b3742892d61673939fe224d8ed8eea22e5_1280.png,png,98843,38103,35,"speech, bubble, talk, blank, message, icon, element, cartoon, communicate, discussion, chatting, conversation, speech, bubble, talk, message, discussion, chatting, conversation, conversation, conversation, conversation, conversation"
154748,caption,https://pixabay.com/vectors/noise-comics-onomatopoeia-sound-154748/,https://pixabay.com/get/ga822679dfd7246c7638abc1f014e6c6eb6bd0e117140fa35d647dbcd812cdb0de53e8e6afdec59511373a5746723ae50e015cbed6786c2b0e8e36745fe588574_1280.png,png,34503,17684,35,"noise, comics, onomatopoeia, sound, boom, explosion, loud, cartoon, noise, boom, boom, boom, boom, boom, explosion, explosion, explosion, explosion"
155268,caption,https://pixabay.com/vectors/wow-bang-explosion-pow-blast-155268/,https://pixabay.com/get/g3a16e2b08298c7b2c21e10f99a589e5fe8aa1e769530cf0104821a70792ec57d310080e98abca8d8231c64e64c23c7a7e10b2cc0948262bf656b7699c282a171_1280.png,png,100055,44181,107,"wow, bang, explosion, pow, blast, comic, text, onomatopoeia, wow, wow, wow, wow, wow"
24152,caption,https://pixabay.com/vectors/thoughts-speech-bubbles-idea-24152/,https://pixabay.com/get/g9a2216b16f6e63940f09434972e2265337dc6d5310db665c82b6ca191a9637778b9f7eb03bd3a10181966c9339d389a1_1280.png,png,138391,69371,124,"thoughts, speech, bubbles, idea, dreaming, talking, caption, cartoons, comics, thought, cloud, thinking, creativity, inspiration, imagination, blank, brainstorm, ideas, thoughts, idea, idea, idea, idea, dreaming, dreaming, caption, thought, thought, thought, thinking, thinking, thinking, thinking, thinking, imagination, imagination, imagination, imagination, brainstorm, brainstorm, ideas"
41392,caption,https://pixabay.com/vectors/speech-bubble-talk-talking-speak-41392/,https://pixabay.com/get/gd324f82259ed2ec63cc763700de7702665053ee325387657b23c3fd6043608011d2b162083cef515bca2c0fc31057512_1280.png,png,75760,57297,98,"speech bubble, talk, talking, speak, speaking, dialogue, balloon, speech, quote, caption, cartoon, communicate, chat, speech bubble, speech bubble, speech bubble, speech bubble, speech bubble, quote, chat"
160786,caption,https://pixabay.com/vectors/bubble-caption-headline-ext-speech-160786/,https://pixabay.com/get/g001f4c73a9fea4f0f0b18361f0d9b0a0b8cd8d7ce7cd2d6bdcc0f5f3a572690cb0335bd7fc91028927530ceffdbca50fd02919d58941c5bee76cc04f472309a9_1280.png,png,61490,49080,83,"bubble, caption, headline, ext, speech, call, talk, speak, chatting, bubble, bubble, bubble, bubble, bubble, caption, speech, speech, speech, speak, speak, speak"
145974,caption,https://pixabay.com/vectors/speech-bubble-speech-balloon-balloon-145974/,https://pixabay.com/get/gfd3241ac8eb4b96931fb67f2a209dabd96334349c29da059712601dfb2fc8aec63f7ff8046bd64614d4cb165f6104f71e102cfeb3cdeb2b449d8dcc14e92628f_1280.png,png,104301,81837,62,"speech bubble, speech balloon, balloon, bubble, speech, talk, say, speech bubble, speech bubble, speech bubble, speech bubble, speech bubble"
3955616,congrats,https://pixabay.com/photos/buffet-korean-food-birthday-3955616/,https://pixabay.com/get/gfcc47a9bde8db7e66b7d3f5ab12c30dbb0f49d1b373a9be674cacc6e6f626317538cad2ea2579fba794b192f68c8d05adc8d01d1cf9af03b8a965fc2f0803724_1280.jpg,jpg,66813,43699,83,"buffet, korean food, wedding ceremony, food, reception, happy birthday, restaurant, table, congrats, dining, event, catering, plate, kettering"
620397,countdown,https://pixabay.com/photos/new-year-background-hourglass-time-620397/,https://pixabay.com/get/gd3ede55de2d8966cfb941f4983d95406d79d679aed0ceea5713938304399e1cf869134d9fa4f807bf909109577201fec466a7dc0120c3a05e5f671b02d1e34a2_1280.jpg,jpg,694027,392429,1629,"new year background, hourglass, time, hours, clock, amount of time, glass, timer, transcience, sand"
